parcel_num,x,y,z
1.0,18.0,0.0,48.0
2.0,1.0,11.0,34.0
3.0,5.0,33.0,-11.0
4.0,40.0,-22.0,57.0
5.0,3.0,7.0,56.0
6.0,3.0,-81.0,13.0
7.0,0.0,-62.0,8.0
8.0,-0.0,-40.0,-14.0
9.0,-43.0,37.0,8.0
10.0,-2.0,-69.0,-18.0
11.0,-3.0,14.0,-7.0
12.0,4.0,-67.0,6.0
13.0,-1.0,-20.0,-19.0
14.0,1.0,10.0,62.0
15.0,6.0,-12.0,10.0
16.0,1.0,-66.0,-28.0
17.0,-0.0,-21.0,54.0
18.0,3.0,-60.0,52.0
19.0,-1.0,-54.0,13.0
20.0,11.0,-48.0,31.0
21.0,-0.0,10.0,-7.0
22.0,9.0,-17.0,-1.0
23.0,-1.0,53.0,-5.0
24.0,0.0,-68.0,55.0
25.0,-39.0,-22.0,57.0
26.0,-3.0,52.0,29.0
27.0,-6.0,-36.0,16.0
28.0,1.0,13.0,8.0
29.0,-0.0,-16.0,6.0
30.0,1.0,-70.0,40.0
31.0,2.0,-91.0,-7.0
32.0,-18.0,-58.0,-9.0
33.0,4.0,-23.0,21.0
34.0,3.0,-34.0,33.0
35.0,0.0,-36.0,43.0
36.0,1.0,-31.0,36.0
37.0,-0.0,-76.0,7.0
38.0,1.0,29.0,44.0
39.0,49.0,27.0,21.0
40.0,2.0,25.0,43.0
41.0,0.0,-3.0,56.0
42.0,-4.0,-60.0,44.0
43.0,0.0,-20.0,-8.0
44.0,-5.0,22.0,44.0
45.0,-2.0,-2.0,-22.0
46.0,-49.0,26.0,3.0
47.0,1.0,-21.0,7.0
48.0,3.0,-46.0,-20.0
49.0,6.0,-24.0,40.0
50.0,2.0,0.0,2.0
51.0,-3.0,20.0,6.0
52.0,-2.0,6.0,3.0
53.0,-5.0,-38.0,-9.0
54.0,49.0,21.0,5.0
55.0,2.0,-10.0,24.0
56.0,5.0,41.0,27.0
57.0,2.0,-27.0,9.0
58.0,55.0,10.0,15.0
59.0,1.0,-11.0,3.0
60.0,0.0,-54.0,30.0
61.0,-52.0,9.0,12.0
62.0,1.0,20.0,-12.0
63.0,2.0,-9.0,-11.0
64.0,2.0,-66.0,39.0
65.0,1.0,-89.0,2.0
66.0,-4.0,-47.0,58.0
67.0,-46.0,21.0,24.0
68.0,2.0,-3.0,-24.0
69.0,7.0,51.0,4.0
70.0,0.0,-77.0,-3.0
71.0,-1.0,3.0,5.0
72.0,-54.0,-41.0,4.0
73.0,1.0,-9.0,30.0
74.0,2.0,-88.0,9.0
75.0,-25.0,6.0,32.0
76.0,1.0,-87.0,-10.0
77.0,1.0,30.0,27.0
78.0,-0.0,-59.0,21.0
79.0,3.0,-64.0,-10.0
80.0,1.0,41.0,11.0
81.0,-4.0,-4.0,6.0
82.0,1.0,-57.0,-18.0
83.0,3.0,-78.0,27.0
84.0,1.0,-4.0,-13.0
85.0,0.0,31.0,-11.0
86.0,7.0,-44.0,51.0
87.0,3.0,4.0,-16.0
88.0,14.0,-49.0,8.0
89.0,-9.0,-67.0,33.0
90.0,-9.0,-3.0,49.0
91.0,-5.0,-49.0,42.0
92.0,-0.0,-9.0,15.0
93.0,2.0,24.0,-3.0
94.0,1.0,-43.0,60.0
95.0,3.0,26.0,20.0
96.0,-0.0,-7.0,55.0
97.0,1.0,-31.0,-2.0
98.0,-41.0,6.0,31.0
99.0,45.0,8.0,29.0
100.0,0.0,11.0,49.0
